#;Question;No of answers;Answer 1;Correct 1;Answer 2;Correct 2;Answer 3;Correct 3;Answer 4;Correct 4
1;In quale secolo visse Seneca?;4;I secolo a.C.;;I secolo d.C.;Y;II secolo a.C.;;III secolo d.C.;
2;Quale filosofia influenzò le opere di Seneca?;4;Epicureismo;;Platonismo;;Stoicismo;Y;Socrateismo;
3;Qual'era il tema principale delle opere di Seneca?;4;Guerra;;Amore;;Virtù;Y;Potere;
4;Quale evento esterno non dovrebbe essere temuto secondo lo stoicismo?;4;La morte;Y;La povertà;;La malattia;;Il dolore;
5;Come morì Seneca?;4;Di vecchiaia;;In battaglia;;Di omicidio;;Di suicidio;Y
6;Chi ordinò la morte di Seneca?;4;Marco Aurelio;;Nerone;Y;Cesare;;Augusto;
7;Quale ruolo ricoprì Seneca durante il regno di Nerone?;4;Console;;Pretore;;Maestro di retorica;;Tutore di Nerone;Y
8;Quale era il nome completo di Seneca?;4;Lucius Annaeus;Y;Gaius Julius Caesar;;Marcus Tullius;;Titus Livius;
9;Quale filosofo greco influenzò maggiormente Seneca?;4;Socrate;;Platone;;Epitteto;Y;Aristotele;
10;In quale città nacque Seneca? ;4;Corinto;;Atene;;Siviglia;;Cordova;Y
11;Quale dei seguenti non è un tema esplorato da Seneca nei suoi scritti filosofici?;4;Autocontrollo;;Felicità;;Psicologia;Y;Politica;
12;Quale delle seguenti non è una tragedia scritta da Seneca?;4;Medea;;Agamennone;;Le Troiane;;Oedipus Rex;Y
13;Quale dei seguenti non è uno dei precetti del filosofo Epitteto, influente per Seneca?;4;Non ciò che accade a noi, ma come reagiamo a ciò che accade a noi, conta;;Non lamentarti mai;;Non preoccuparti mai;Y;Non avere mai paura;
14;Quale delle seguenti non è un'opera di Seneca?;4;Le lettere a Lucilio;;La vita di Apollonio di Tiana;Y;Le tragedie;;De brevitate vitae;
15;Quale delle seguenti opere di Seneca non è una lettera?;4;De ira;Y;De vita beata;;De tranquillitate animi;;De constantia sapientis;
16;"Quale dei seguenti non è uno dei temi principali delle ""Lettere a Lucilio"" di Seneca?";4;Etica;;Filosofia;;Saggezza;Y;Storia;
17;"Quale dei seguenti non è uno dei temi principali del trattato ""De ira"" di Seneca?";4;Gestione delle emozioni;;Autocontrollo;Y;Politica;;Storia;
18;"Quale dei seguenti non è uno dei temi principali del trattato ""De brevitate vitae"" di Seneca?";4;Brevità della vita ;Y;Amicizia;;Fiducia in se stessi;;Virtù;
19;In quale delle seguenti opere di Seneca non viene esplorato il tema della morte?;4;De ira;;De vita beata;Y;De constantia sapientis;;De tranquillitate animi;
20;"Quale dei seguenti non è uno dei temi principali delle ""Tragedie"" di Seneca?";4;Vendetta;;Passione;;Amore;Y;Politica;
