#;Question;No of answers;Answer 1;Correct 1;Answer 2;Correct 2;Answer 3;Correct 3;Answer 4;Correct 4
1;Quando Platone morì, nel 347 a.C., chi gli succedette come insegnate all'Accedemia da lui fondata?;4;Aristotele;;Speusippo;Y;Aristotele, anche se di fatto non era mai presente;;Speusippo, anche se di fatto la vera guida rimase sempre Aristotele.;
2;Quale importante ruolo ricopriva il padre di Aristotele?;4;Era il capo dell'esercito macedone;;Era il medico del re di Macedonia;Y;Era il consiglere del re di Macedonia;;Era l'erede al trono di Macedonia;
3;Per Aristotele, Dio è definito come...?;4;Grande Orologiaio;;Motore dell'universo;;Motore immobile;Y;Volontà dell'universo;
4;Il concetto di Atto Puro in Aristotele, si può identificare con...?;4;L'universo;;Il mondo materiale;;Il mondo delle idee;;Dio;Y
5;Aristotele nacque a Stagira, l'Odierna...?;4;Agrigento, in Sicilia;;Olympiada, in Grecia;Y;Siracusa, in Sicilia;;Atene, in Grecia;
6;Quale filosofo fu maestro di Aristotele e influenzò il suo pensiero giovanile?;4;Aminta;;Sofocle;;Platone;Y;Socrate;
7;La paroel Aristotele deriva dall'unione di due parole greche e significa...?;4;L'idea migliore;;Il fine migliore;Y;Il filosofo migliore;;Il padre migliore;
8;In quale opera Aristotele affrotna il problema del rapporto tra idee e cose?;4;Sulle Idee;Y;Metafisica;;Apologia;;Il fine migliore;
9;Come chiamiamo il complesso della opere di Aristotele a noi pervenute?;4;Corpus Aristotelico;Y;Philosophiae Aristotelicus;;Sapere completo;;Ipse Dixit;
10;"In seguito a quale avvenimento Aristotele scrisse l'opera ""Sull'Anima""?";4;La morte del padre;;La morte di un amico in guerra;Y;La nascita del figlio di un amico;;La morte della moglie;
11;In quanti libri è divisa l'opera De Philosiphiae?;4;1;;2;;3;Y;4;
12;Il complesso di opere aristoteliche si divide in due gruppi. Quali?;4;Scritti esoterici e scritti essoterici;Y;Scritti esoterici e scritti scientifici;;Scritti occulti e scritti divulgativi;;Scritti esoterici e saggi;
13;Cosa indica il termine Organon?;4;La città dove morì Aristotele;;Le opere di logica di Aristotele;Y;La scuola dove si formò Aristotele;;La scuola fondata da Aristotele;
14;Quante sono le casue per cui un oggetto si muove in un certo modo?;4;1;;2;;3;;4;Y
15;Quale metodo propone Aristotele per la descrizione dell'Universo?;4;Il metodo geocentrico;Y;Il metodo copernicano;;Il metodo scientifico;;Il metodo tolemaico;
16;Quali tra queste categorie di opere non rientra tra quelle scritte da Aristotele?;4;Opere teatrali;Y;Opere politiche;;Opere di poetica;;Opere di logica;
17;Perchè secondo Aristotele tutti gli oggetti sono in mutamento costante?;4;Perchè la materia vuole conformarsi al mondo delle idee;;Perchè la materia vuole arrivare ad una forma precisa;Y;Perchè la forma vuole plasmare la materia a sua immagine;;Perchè tutto scorre;
18;"Cosa significa la parola ""Metafisica""?";4;Dopo la fisica;Y;Prima della fisica;;Oltre la fisica;;Tutto ciò che non è fisica;
19;"""Ogni animale è mortale. Ogni uomo è animale. Ogni uomo è mortale"" Si tratta di un...?";4;Onomatopea;;Epitaffio;;Sillogismo;Y;Anacronismo;
20;Che nome prese la scuola fondata da Aristotele?;4;Accademia;;Liceo;Y;Scuola della filosofia;;Scuola delle professioni;
